ids,labels,parents,sector_color,app_ids,app_labels,app_parents,app_color,,node_label,node_color,link_source,link_target,link_label,link_color,value,app_description,sector_description
aomo-dem-ems,Energy Management System,aomo-dem,crimson,cs-hr-hcm-kaba,KABA v. 1.0,cs-hr-hcm,lightyellow,,Timesheets v. 1.0,peru,10,13,API,peru,1,KABA v. 1.0,Energy Management System
aomo-dem-wf,Weather Forecasting,aomo-dem,crimson,cs-hr-hcm-psps,Performance Share Plans System v. 1.0,cs-hr-hcm,lightyellow,,Payment Request eform v. 1.0,peru,17,13,Flat File,royalblue,1,Performance Share Plans System v. 1.0: A System for HR to manage PSP shares granted to senior management,Weather Forecasting
aomo-dem-do,Dispatch Optimisation,aomo-dem,crimson,cs-hr-hcm-rts,Resource Tracking System v. 1.0,cs-hr-hcm,lightyellow,,SAP GSP v. 1.0,brown,83,13,WS,royalblue,1,Resource Tracking System v. 1.0: A system for tracking and monitoring manpower cost to support technology projects.,Dispatch Optimisation
aomo-dem-smhes,Smart Meter Head End Systems (HES),aomo-dem,crimson,cs-hr-hcm-rsps,Restricted  Share Plans System v. 1.0,cs-hr-hcm,lightyellow,,Electronic Document Management System v. 1.0,lightslategray,84,13,Manual (CSV),royalblue,1,Restricted  Share Plans System v. 1.0: A system for HR to manage RSP shares granted to employees,Smart Meter Head End Systems (HES)
cpm,Capital Project Management,,darkmagenta,cs-hr-hcm-saph,SAP HCM v. SAP ERP 6.0 EhP8,cs-hr-hcm,lightyellow,,Gift and Entertainment Management v. 1.0,brown,85,13,Manual (CSV),royalblue,1,"SAP HCM v. SAP ERP 6.0 EhP8: HCM is the Human Resources module. It includes the following functions - Personnel Management (PA), Organisation Management (OM), Personnel Time Management (PT), Travel Management (TR), Payroll (PY), Appraisal, SuccessFactors Learning, Employee File Management System (Singapore)
India Team includes the following function - Personnel Management (PA) Organisation Management (OM) Personnel Time Management (PT) Payroll (PY) ESS India Customization - Tax Declaration, Attendance",Capital Project Management
cpm-eppm,Enterprise Project Portfolio Management,cpm,orchid,cs-hr-hcm-sch,Scholarship.net v. 1.0,cs-hr-hcm,lightyellow,,Event Attendance (Power Apps) v. 1.0,brown,86,13,Manual,peru,1,"Scholarship.net v. 1.0: A system to computerize the process of scheduling interviews, assessing candidates generating reports",Enterprise Project Portfolio Management
cpm-cm,Cost Management,cpm,orchid,cs-hr-hcm-tms,TMS (Time Management System) v. 1,cs-hr-hcm,lightyellow,,Microsoft Stream (Internet-Online) v. Microsoft Stream,lightslategray,73,13,Shared DB (SQL),peru,1,"Time Management System: TMS is used by SembWaste’s HR to maintain shift group , attendance code and payment instruction for Over-Time work schedule for its Direct Labour staff and to generate Over-Time schedule to be exported to SAP",Cost Management
cpm-spm,Supplier Performance Management,cpm,orchid,cs-hr-te-aph,SAP HCM v. SAP ERP 6.0 EhP8,cs-hr-te,lightyellow,,Slack v. Enterprise Grid,lightslategray,74,13,Shared DB (SQL),peru,1,"SAP HCM v. SAP ERP 6.0 EhP8: HCM is the Human Resources module.It includes the following functions - Personnel Management (PA), Organisation Management (OM), Personnel Time Management (PT), Travel Management (TR), Payroll (PY), Appraisal, SuccessFactors Learning, Employee File Management System (Singapore)
India Team includes the following function - Personnel Management (PA) Organisation Management (OM) Personnel Time Management (PT) Payroll (PY) ESS India Customization - Tax Declaration, Attendance",Supplier Performance Management
cpm-ccs,Change Control System,cpm,orchid,cs-hr-pm-aph,SAP HCM v. SAP ERP 6.0 EhP8,cs-hr-pm,lightyellow,,Time Off eform v. 1.0,peru,87,13,Shared DB (SQL),peru,1,"SAP HCM v. SAP ERP 6.0 EhP8: HCM is the Human Resources module.It includes the following functions - Personnel Management (PA), Organisation Management (OM), Personnel Time Management (PT), Travel Management (TR), Payroll (PY), Appraisal, SuccessFactors Learning, Employee File Management System (Singapore)
India Team includes the following function - Personnel Management (PA) Organisation Management (OM) Personnel Time Management (PT) Payroll (PY) ESS India Customization - Tax Declaration, Attendance",Change Control System
cpm-ed,"Engineering & Design (CAD, 4D Model, etc.)",cpm,orchid,cs-hr-lms-aph,SAP HCM v. SAP ERP 6.0 EhP8,cs-hr-lms,lightyellow,,Employee Share Plans System v. 1.0,peru,34,13,,crimson,1,"SAP HCM v. SAP ERP 6.0 EhP8: HCM is the Human Resources module.It includes the following functions - Personnel Management (PA), Organisation Management (OM), Personnel Time Management (PT), Travel Management (TR), Payroll (PY), Appraisal, SuccessFactors Learning, Employee File Management System (Singapore)
India Team includes the following function - Personnel Management (PA) Organisation Management (OM) Personnel Time Management (PT) Payroll (PY) ESS India Customization - Tax Declaration, Attendance","Engineering & Design (CAD, 4D Model, etc.)"
cpm-bim,Building Information Modelling,cpm,orchid,cs-hr-tm-aph,SAP HCM v. SAP ERP 6.0 EhP8,cs-hr-tm,lightyellow,,Performance Share Plans System v. 1.0,peru,88,13,,brown,1,"SAP HCM v. SAP ERP 6.0 EhP8: HCM is the Human Resources module.It includes the following functions - Personnel Management (PA), Organisation Management (OM), Personnel Time Management (PT), Travel Management (TR), Payroll (PY), Appraisal, SuccessFactors Learning, Employee File Management System (Singapore)
India Team includes the following function - Personnel Management (PA) Organisation Management (OM) Personnel Time Management (PT) Payroll (PY) ESS India Customization - Tax Declaration, Attendance",Building Information Modelling
cs,Corporate Services (Systems of Record),,maroon,cs-hr-tm-otb,Sembcorp OTUJ - Backend Administrative Portal v. 1.0,cs-hr-tm,lightyellow,,Restricted  Share Plans System v. 1.0,peru,89,89,,lightslategray,1,"Sembcorp OTUJ - Backend Administrative Portal v. 1.0: The backend administrative portal will be developed to manage the OTUJ mobile application and users. This section of the document explains the features and functionality of Administrative Portal. The following are the modules in administrative portal.Login, User Management, Roles Management, Overtime Job Applications, Urgent Job Applications, System Configuration",Corporate Services (Systems of Record)
cs-fin,Finance,cs,brown,cs-hr-tm-out,Sembcorp OTUJ v. 1.3,cs-hr-tm,lightyellow,,Enterprise Risk and Control Management System v. 5.X,peru,90,90,,brown,1,"Sembcorp OTUJ v. 1.3: A Mobile application for JI Maintenance Dept. staffs  to apply for overtime and urgent job requests.
The mobile application consists for following modules - Overtime, Urgent Jobs
The application shows the above functional modules in different tabs. Only applicable user roles (Engineer, HOS and HOD) can view both the tabs. The Technician only view Overtime related functionality. The SVP & Head only view Urgent Jobs related functionality",Finance
cs-fin-fin,Finance,cs-fin,peru,cs-hr-tm-efor,Time Off eform v. 1.0,cs-hr-tm,lightyellow,,Workforce Management System v. 1.0,crimson,9,91,Shared DB (SQL),peru,1,Time Off eform v. 1.0: A system to record time off for Digital & Technology Department,Finance
cs-fin-ia,Invoice Automation (AP),cs-fin,peru,cs-hr-tm-ts,Timesheets v. 1.0,cs-hr-tm,lightyellow,,AMS Machinery v. 5.7,crimson,92,92,,lightslategray,1,Web App for recording time,Invoice Automation (AP)
cs-fin-bpc,Budget Planning & Consolidation (BPC),cs-fin,peru,cs-hr-tm-tms,TMS (Time Management System) v. 1,cs-hr-tm,lightyellow,,Salesforce v. 1,royalblue,93,35,Custom Connector,lightslategray,1,"Time Management System: TMS is used by SembWaste’s HR to maintain shift group , attendance code and payment instruction for Over-Time work schedule for its Direct Labour staff and to generate Over-Time schedule to be exported to SAP",Budget Planning & Consolidation (BPC)
cs-fin-ar,AR Decoupling (Revenue Portal),cs-fin,peru,cs-tms-apa,SAP ASP v. 1.0,cs-tms,lightyellow,,Salesforce-TIRS  Intergration Webservices v. 1.0,royalblue,94,94,,peru,1,SAP ASP v. 1.0,AR Decoupling (Revenue Portal)
cs-fin-epm,Enterprise Performance Management (EPM),cs-fin,peru,cs-tms-sap,SAP GSP v. 1.0,cs-tms,lightyellow,,Visitor Management System v. 1,crimson,42,43,Shared DB,peru,1,SAP GSP v. 1.0,Enterprise Performance Management (EPM)
cs-hr,Human Resources,cs,brown,cs-lcs-adf,Annual Declaration Form v. 1.0,cs-lcs,lightyellow,,KABA v. 1.0,peru,43,80,API,peru,1,"Annual Declaration Form v. 1.0: Platform for employee to submit declaration on Conflict of Interest, Code of Business Conducts and IT Security Policies",Human Resources
cs-hr-hcm,Human Capital Management (HCM),cs-hr,peru,cs-lcs-cps,Company Profile and Shareholding Database System v. 1.0,cs-lcs,lightyellow,,Virtual Brain Water v. 2.0,crimson,43,88,API,peru,1,Company Profile and Shareholding Database System v. 1.0: A platform to update company profiling and shareholding information of all companies under Sembcorp Industries group and to generate shareholding listings and organization charts.,Human Capital Management (HCM)
cs-hr-te,Travel & Expense,cs-hr,peru,cs-lcs-gem,Gift and Entertainment Management v. 1.0,cs-lcs,lightyellow,,DataBricks,teal,43,12,API,peru,1,Gift and Entertainment Management v. 1.0: An eForm to seek approval for giving and receiving gift/entertainment,Travel & Expense
cs-hr-pm,Performance Management,cs-hr,peru,cs-lcs-kol,KOLA v. 1.0,cs-lcs,lightyellow,,Data Warehouse,teal,43,34,,peru,1,"KOLA v. 1.0: A fraud detection monitoring system that allows the organization to enhance oversight of the various operational process, and to identify fraud risks and red flags through the use of an data analytics platform.",Performance Management
cs-hr-lms,Learning Management System,cs-hr,peru,cs-lcs-trd,Tableau Reporting Dashboard v. 10.3.2,cs-lcs,lightyellow,,Website Content Management System v. 1.0,skyblue,95,95,,peru,1,Tableau Reporting Dashboard v. 10.3.2: Allows the organization to visualize output and for reporting purposes.,Learning Management System
cs-hr-tm,Time Management,cs-hr,peru,cs-hse-csr-sdm,Sustainability Data Management System v. 8.4,cs-hse-csr,lightyellow,,EMC (External),teal,96,96,,peru,1,"Sustainability Data Management System v. 8.4: Enablon cloud application that provides the end to end flow of sustainability data from collection, storage, workflow and reporting on GRI, DJSI, CDP",Time Management
cs-tms,Tax Management System,cs,brown,cs-hse-erm-erc,Enterprise Risk and Control Management System v. 5.X,cs-hse-erm,lightyellow,,Payment Gateway (Ext),teal,97,97,,peru,1,"Enterprise Risk and Control Management System v. 5.X: ERM system is a web application that monitors, manages and control the risk associated with a business undertaking. It measures risk in relation to returns and facilitates Sembcorp users in managing risk better. It is using COTS product - Thomson Reuters Accelus Risk Manager.",Tax Management System
cs-lcs,Legal and Compliance System,cs,brown,cs-hse-hse-ghs,Global HSE Information System v. 1.0,cs-hse-hse,lightyellow,,KrisFlyer,teal,98,98,,peru,1,"Global HSE Information System v. 1.0: For HSE performance, incidents and investigations reporting, and report retrieval",Legal and Compliance System
cs-hse,"Health, Safety, Environment",cs,brown,cs-hse-hse-ssa,Sembcorp Secure App - Backend Administrative Portal v. 1.0,cs-hse-hse,lightyellow,,Singpost,teal,34,99,API / WS (XML),crimson,1,"Sembcorp Secure App - Backend Administrative Portal v. 1.0: The backend administrative portal will be developed to manage the secure app mobile application and users. This section of the document explains the features and functionality of Administrative Portal. The following are the modules in administrative portal.Login, User Management, Roles Management, Staff Location & Status, Alerts, Announcements, Emergency Contacts, Incident Reports, System Configuration","Health, Safety, Environment"
cs-hse-csr,Sustainability and Corporate Social Responsibility,cs-hse,peru,cs-hse-hse-ssm,Sembcorp Secure Mobile App v. 1.3,cs-hse-hse,lightyellow,,NTUC,teal,30,17,Shared DB (SQL),wheat,1,"Sembcorp Secure Mobile App v. 1.3: Mobile application to alert all Sembcorp employees on critical incidents relating to health, safety and security. The application will allow a two-way communication whereby Sembcorp staff are able to respond on their status or report on updates of an incident in their locality. Conversely, the crisis administrator is also able to communicate with the affected staff via the chat function in the application.",Sustainability and Corporate Social Responsibility
cs-hse-erm,Enterprise Risk Management (ERM),cs-hse,peru,cs-psc-ss-apa,SAP ARIBA Strategic sourcing v. 1.0,cs-psc-ss,lightyellow,,Power Settlement System,wheat,64,15,Shared DB (SQL),royalblue,1,SAP ARIBA Strategic sourcing v. 1.0,Enterprise Risk Management (ERM)
cs-hse-hse,"Health, Safety, Environment (HSE)",cs-hse,peru,cs-psc-ss-sap,SAP Ariba v. 14s,cs-psc-ss,lightyellow,,SUT Billing File,sandybrown,65,17,Shared DB (SQL),royalblue,1,"SAP Ariba v. 14s: E-Procurement System by GVCM for Global Procurement - Supplier Management, Sourcing, & Contract Management","Health, Safety, Environment (HSE)"
cs-psc,Procurement and Supply Chain,cs,brown,cs-psc-sm-sap,SAP Ariba v. 14s,cs-psc-sm,lightyellow,,SP Systems Interface,teal,100,100,,crimson,1,"SAP Ariba v. 14s: E-Procurement System by GVCM for Global Procurement - Supplier Management, Sourcing, & Contract Management",Procurement and Supply Chain
cs-psc-ss,Strategic Sourcing,cs-psc,peru,cs-psc-scm-car,PCard v. 1.0,cs-psc-scm,lightyellow,,Customer Management System FTP Server,teal,99,34,API / WS (XML),crimson,1,PCard v. 1.0,Strategic Sourcing
cs-psc-cm,Contract Management,cs-psc,peru,cs-psc-scm-sap,SAP MM v. SAP ERP 6.0 EhP8,cs-psc-scm,lightyellow,,AMS Vibration Analyser CSI 2140,crimson,34,80,API,crimson,1,"SAP MM v. SAP ERP 6.0 EhP8: MM is the Material Management module.It includes the following functions - Purchasing, Inventory Management, Invoice Verification, Physical Inventory",Contract Management
cs-psc-sm,Supplier Management,cs-psc,peru,es-pmds-jira,Jira Software v. 1,es-pmds,lightyellow,,F&S Data Collector,crimson,101,102,WS (JSON),royalblue,1,Jira Software v. 1: Issue Tracking & Project Management Software,Supplier Management
cs-psc-scm,Supply Chain Management,cs-psc,peru,es-intranet-hom,Home v. 1.0,es-intranet,lightyellow,,External - Forecasting Agencies Systems,teal,102,0,WS (JSON),royalblue,1,Intranet Home Page (UK),Supply Chain Management
es,Enterprise Services,,darkslategray,es-intranet-semb,Sembcorp Portal v. SharePoint 2013,es-intranet,lightyellow,,Solar Invertor PLC,crimson,30,0,Shared DB (SQL),wheat,1,Sembcorp Portal v. SharePoint 2013: Sharepoint Portal for internal staffs,Enterprise Services
es-pmds,Project Management & Delivery Systems,es,lightslategray,es-ecm-bpa,Board Papers Apps v. 1.0,es-ecm,lightyellow,,Zenon Energy Edition Server,crimson,30,20,Shared DB (SQL),wheat,1,Board Papers Apps v. 1.0: A system to allow sharing of confidential commitee meeting papers,Project Management & Delivery Systems
es-intranet,Intranet,es,lightslategray,es-ecm-dpi,Department Portal (Intranet) v. SharePoint 2013,es-ecm,lightyellow,,Lidar Data Downloader,crimson,30,21,Shared DB (SQL),wheat,1,Department Portal (Intranet) v. SharePoint 2013: Sharepoint portal for department,Intranet
es-ecm,Enterprise Content Management,es,lightslategray,es-ecm-dpo,Department Portal (Online) v. SharePoint Online,es-ecm,lightyellow,,Lidar Data Aggregation,crimson,103,103,,crimson,1,Department Portal (Online) v. SharePoint Online: Sharepoint portal for department,Enterprise Content Management
es-css,Collaboration Services (e.g. Slack),es,lightslategray,es-ecm-edm,Electronic Document Management System v. 1.0,es-ecm,lightyellow,,LiDAR Sensor,crimson,80,10,API,peru,1,Electronic Document Management System v. 1.0: A system to facilite management and turnaround time for engineering drawing / documentation for SUT PD,Collaboration Services (e.g. Slack)
es-peci,Process Excellence & Continuous Improvement,es,lightslategray,es-ecm-home,Home v. 1.0,es-ecm,lightyellow,,Inverter Data Auto Downloader,crimson,28,10,WS (XML),peru,1,Home v. 1.0,Process Excellence & Continuous Improvement
es-wia,Workflow and Intelligent Automation,es,lightslategray,es-ecm-msi,Microsoft Stream (Internet-Online) v. Microsoft Stream,es-ecm,lightyellow,,SAP ESS/MSS SAP NetWeaver 7.5,peru,10,41,Shared DB (JSON),peru,1,Microsoft Stream (Internet-Online) v. Microsoft Stream: A system to stream video,Workflow and Intelligent Automation
es-mmimr,Market Messaging & Interaction (Market Rules),es,lightslategray,es-ecm-ppi,Project Portal (Intranet) v. SharePoint 2013,es-ecm,lightyellow,,Cogenweb,crimson,10,80,API,peru,1,Project Portal (Intranet) v. SharePoint 2013: Sharepoint portal for projects,Market Messaging & Interaction (Market Rules)
es-fm,Facilities Management,es,lightslategray,es-ecm-ppo,Project Portal (Online) v. SharePoint Online,es-ecm,lightyellow,,Water Plant Management System v. 1.0,crimson,10,104,WS,peru,1,Project Portal (Online) v. SharePoint Online: Sharepoint portal for projects,Facilities Management
es-rad,Rapid App Development,es,lightslategray,es-ecm-smg,Sembcorp Media Gallery v. SharePoint 2013,es-ecm,lightyellow,,ZJG - DCS v. 5.3+sp3,crimson,105,14,,crimson,1,Sharepoint media gallery,Rapid App Development
es-imrd,Innovation Management and R&D,es,lightslategray,es-ecm-sps,Sembcorp Portal v. SharePoint 2013,es-ecm,lightyellow,,NSS - DCS v. XDC800,crimson,105,106,,crimson,1,Sembcorp Portal v. SharePoint 2013,Innovation Management and R&D
iis,IT and Infrastructure Services,,orange,es-ecm-wcm,Website Content Management System v. 1.0,es-ecm,lightyellow,,NCIP Water - DCS v. XDC800,crimson,106,105,,teal,1,Website Content Management System v. 1.0,IT and Infrastructure Services
iis-isd,IT Service Delivery,iis,tomato,es-css-dp,Department Portal (Intranet) v. SharePoint 2013,es-css,lightyellow,,Goods Service Tax Network,teal,107,105,API / WS (XML),teal,1,Department Portal (Intranet) v. SharePoint 2013: Sharepoint portal for department,IT Service Delivery
iis-isd-euc,End User Computing,iis-isd,coral,es-css-evc,Enterprise Video Communications v. 4.4.2,es-css,lightyellow,,Warehouse Management System,peru,13,42,Shared DB,peru,1,Enterprise Video Communications v. 4.4.2,End User Computing
iis-isd-tc,Telephony and Conferences,iis-isd,coral,es-css-sla,Slack v. Enterprise Grid,es-css,lightyellow,,Whistle Blowing Portal,brown,42,41,API (JSON),peru,1,Slack v. Enterprise Grid: Sembcorp Digital Workspace - Collaboration & Communication Tool,Telephony and Conferences
iis-isd-itsm,IT Service Management,iis-isd,coral,es-peci-ris,ARIS v. 10 Release 8,es-peci,lightyellow,,Whistle Blowing Case Management,brown,13,23,Flat File,peru,1,ARIS v. 10 Release 8,IT Service Management
iis-isd-itmm,IT Monitoring and Management,iis-isd,coral,es-peci-sap,SAP Approval Mobile App System - Sembcorp Approval 3.0 v. 2.1,es-peci,lightyellow,,EE Website,teal,25,23,Shared DB (SQL),crimson,1,SAP Approval Mobile App System - Sembcorp Approval 3.0 v. 2.1: A system to for SAP approvers to approve request types on the move.,IT Monitoring and Management
iis-isd-isd,IT Service Delivery,iis-isd,coral,es-wia-cap,"CAPEX Purchase, Fixed Asset Disposal, CAPEX Replacement eform v. 1.0",es-wia,lightyellow,,Mobile Bills v. 1.0,peru,2,31,WS (XML),sandybrown,1,"CAPEX Purchase, Fixed Asset Disposal, CAPEX Replacement eform v. 1.0: An eForm for purchase request, replacement and disposal",IT Service Delivery
iis-infra,IT Infrastructure,iis,tomato,es-wia-ea,Event Attendance (Power Apps) v. 1.0,es-wia,lightyellow,,AMEX - UK,teal,108,108,,skyblue,1,Event Attendance (Power Apps) v. 1.0: A system to mark attendance for Sembcorp events,IT Infrastructure
iis-infra-cm,Cloud Management,iis-infra,coral,es-wia-rpa,Robotic Process Automation v. 1,es-wia,lightyellow,,Gasboy Head Office 6.4.413.007,crimson,47,43,API,orchid,1,Robotic Process Automation v. 1: Robots Built - DOF Billing & Cash Projection,Cloud Management
iis-infra-bh,Blockchain,iis-infra,coral,de-int-int-api-db,Dell Boomi,de-int-int-api,indigo,,Turbine Data Downloader v. 2.0.0,crimson,43,41,Shared DB (JSON),peru,1,Dell Boomi: Integration platform for applications,Blockchain
iis-infra-dco,Data Center Operations,iis-infra,coral,de-int-int-api-wk,Workato,de-int-int-api,indigo,,Wind Turbine PLC Regen,crimson,13,57,"WS (SOAP, XML)",peru,1,Workato: Workflow Automation for Slack Integration,Data Center Operations
iis-infra-inc,Inter-network Connections,iis-infra,coral,aomo-aop-hist-wh,Wonderware Historian,aomo-aop-hist,lightyellow,,,,16,17,Manual,teal,1,Wonderware Historian,Inter-network Connections
iis-infra-vpn,VPN,iis-infra,coral,aomo-aop-hist-um,UMIS 1.0,aomo-aop-hist,lightyellow,,,,13,83,WS,peru,1,Web App for plant info,VPN
de,Digital Enablers,,darkgreen,aomo-ao-apm-eta,ETAPRO,aomo-ao-apm,lightyellow,,,,13,10,,peru,1,ETAPRO,Digital Enablers
de-an,Analytics (System of Insights),de,seagreen,de-an-vi-de-dl,Data Lake,de-an-vi-de,lightyellow,,,,13,81,Flat File,peru,1,Data Lake,Analytics (System of Insights)
de-an-vi,Visualisation and Insights,de-an,olivedrab,de-int-int-api-cfu,Citibank File Uploader (External),de-int-int-api,lightyellow,,,,13,80,API,peru,1,Citibank File Uploader (External),Visualisation and Insights
de-an-vi-mcf,Market and Commodity Forcasting,de-an-vi,teal,de-int-int-batch-gyro,Giro,de-int-int-batch,lightyellow,,,,13,73,Shared DB (SQL),peru,1,Giro,Market and Commodity Forcasting
de-an-vi-od,Optimised Dispatch,de-an-vi,teal,de-int-int-api-axs,External - AXS 1.0,de-int-int-api,lightyellow,,,,13,74,Shared DB (SQL),peru,1,External - AXS 1.0,Optimised Dispatch
de-an-vi-pods,Plant Ops and Design Optimisation,de-an-vi,teal,de-an-vi-aso-vbr,VBR,de-an-vi-aso,lightyellow,,,,13,87,Shared DB (SQL),peru,1,VBR,Plant Ops and Design Optimisation
de-an-vi-pve,Predictive Maintenance,de-an-vi,teal,aomo-aop-eam-wis,Weighbridge Information System,aomo-aop-eam,lightyellow,,,,35,93,Custom Connector,teal,1,"Weighbridge Information System: WIS provides the Woodchip Boiler Plant engineers with woodchip steam production analysis reports. In addition, it facilitates billing verification between Sembcorp Cogen and SembEnviro",Predictive Maintenance
de-an-vi-aso,Asset Performance Optimisation,de-an-vi,teal,aomo-aop-eam-st,Storage & Terminalling,aomo-aop-eam,lightyellow,,,,57,20,"WS (REST), SQL, File Share",royalblue,1,"Storage & Terminalling: A system for Storage & Terminalling team to manage Eastman work orders for isotank, drumming, stuffing and vessel loading jobs",Asset Performance Optimisation
de-an-vi-gp,Global Ops ,de-an-vi,teal,aomo-aop-eam-lims,Laboratory Information Management System,aomo-aop-eam,lightyellow,,,,109,57,WS (SOAP),teal,1,Laboratory Information Management System: To maintain the optimal operating conditions and give the water operations early warning to treatment process potential upset,Global Ops 
de-an-vi-de,Data Lake,de-an-vi,teal,aomo-aop-eam-geo,GEO Information System,aomo-aop-eam,lightyellow,,,,57,110,"WS (REST), FTP",royalblue,1,GEO Information System: A system to maintain pipeline and associated assets information in Jurong Island used for monitoring capex and space utilization tracking and generate commercial proposals,Data Lake
de-an-dm,Data Modelling,de-an,olivedrab,de-int-int-api-sgx,SGX Live Feed,de-int-int-api,lightyellow,,,,110,57,"WS (REST), FTP",teal,1,SGX Live Feed,Data Modelling
de-an-dm-bda,Big Data Analytics,de-an-dm,teal,aomo-aop-hs-ims,Incident Management System,aomo-aop-hs,lightyellow,,,,57,18,Manual,royalblue,1,Incident Management System: A system to manage IT related calls and incidents raised by users,Big Data Analytics
de-an-dm-vvisual,Visual Analytics,de-an-dm,teal,iis-isd-itsm-itsm,IT Services Management System 1.0,iis-isd-itsm,lightyellow,,,,57,111,Manual,royalblue,1,IT Services Management System 1.0: A system to manage IT related requests raised by users.,Visual Analytics
de-an-dm-omi,Optimisation,de-an-dm,teal,de-int-int-api-bank,Bank (External),de-int-int-api,lightyellow,,,,19,57,SFTP,teal,1,Bank (External),Optimisation
de-an-dm-aartifi,Artificial Intelligence,de-an-dm,teal,de-an-dm-bda-db,DataBricks,de-an-dm-bda,lightyellow,,,,112,57,Manual,teal,1,DataBricks,Artificial Intelligence
de-an-dm-mmachin,Machine Learning,de-an-dm,teal,de-an-dm-bda-dw,Data Warehouse,de-an-dm-bda,lightyellow,,,,24,25,Manual,crimson,1,Data Warehouse,Machine Learning
de-an-dm-sstatis,Statistical Modelling,de-an-dm,teal,de-cs-di-iam-aad,Azure AD,de-cs-di-iam,indigo,,,,17,0,SQL,royalblue,1,,Statistical Modelling
de-cs,Cyber Security,de,seagreen,iis-isd-tc-zoom,Zoom,iis-isd-tc,indigo,,,,17,101,Manual,royalblue,1,,Cyber Security
de-cs-ci,Cyber Intelligence,de-cs,olivedrab,iis-isd-tc-sfb,Skype for Business,iis-isd-tc,indigo,,,,17,114,,royalblue,1,,Cyber Intelligence
de-cs-ci-soc,Security Operations Center,de-cs-ci,teal,iis-isd-itmm-ies,Ivanti Endpoint Security,iis-isd-itmm,indigo,,,,114,17,SQL Connection,wheat,1,,Security Operations Center
de-cs-ci-cbrm,Cyber Breach Response Management,de-cs-ci,teal,iis-isd-itmm-sccm,System Center Configuration Manager,iis-isd-itmm,indigo,,,,115,17,Manual,sandybrown,1,,Cyber Breach Response Management
de-cs-ci-cti,Cyber Threat Intelligence,de-cs-ci,teal,iis-isd-itmm-wg,WhatsUp Gold,iis-isd-itmm,indigo,,,,30,115,,wheat,1,,Cyber Threat Intelligence
de-cs-ci-mm,Malware Management,de-cs-ci,teal,iis-isd-euc-fup,Follow you printing system 5.7.34.3271,iis-isd-euc,indigo,,,,24,2,Manual,crimson,1,,Malware Management
de-cs-ci- ics,Industrial Control System (ICS) Security,de-cs-ci,teal,iis-infra-cm-vsp,vSphere 6.5,iis-infra-cm,indigo,,,,20,116,MQ,sandybrown,1,,Industrial Control System (ICS) Security
de-cs-ci-fw,Firewall,de-cs-ci,teal,de-an-dm-vvisual-ts,Tableau Server 10.3,de-an-dm-vvisual,indigo,,,,116,20,MQ,teal,1,,Firewall
de-cs-ci-vm,Vulnerability Management,de-cs-ci,teal,de-cs-ci-soc-qr,Qradar,de-cs-ci-soc,indigo,,,,109,30,WS (SOAP),teal,1,,Vulnerability Management
de-cs-ci-tps,Third Party Security,de-cs-ci,teal,de-cs-di-dpdp-dlp,Forcepoint Data Loss Protection (DLP) 8.5.1.66,de-cs-di-dpdp,indigo,,,,30,109,WS (SOAP),wheat,1,,Third Party Security
de-cs-di,Digital Identity,de-cs,olivedrab,de-cs-ci-fw-cfa,Checkpoint Firewall Appliance,de-cs-ci-fw,indigo,,,,23,24,WS (XML),royalblue,1,Company Firewall,Digital Identity
de-cs-di-casb,Cloud Access Security Broker (CASB),de-cs-di,teal,de-cs-ci-fw-fsm,Firemon Security Manager,de-cs-ci-fw,indigo,,,,118,100,TCP/IP,crimson,1,,Cloud Access Security Broker (CASB)
de-cs-di-ueba,User Entity Behaviour Analytics,de-cs-di,teal,de-cs-ci-fw-fm,Fortimanager,de-cs-ci-fw,indigo,,,,18,17,CSV,blue,1,,User Entity Behaviour Analytics
de-cs-di-iam,Identity Access Management (IAM),de-cs-di,teal,de-cs-ci-fw-fa,FortiAnalyzer,de-cs-ci-fw,indigo,,,,120,119,"FTP, e-mail (CSV)",teal,1,,Identity Access Management (IAM)
de-cs-di-dpdp,Data Protection and Data Privacy,de-cs-di,teal,de-cs-ci-mm-sep,Symantec Endpoint Protection,de-cs-ci-mm,indigo,,,,119,22,API (CSV),teal,1,,Data Protection and Data Privacy
de-cs-di-pki,Public Key Infrastructure (PKI) Services,de-cs-di,teal,de-cs-di-pki-atf,Axway Trusted File,de-cs-di-pki,indigo,,,,121,122,API (realtime),crimson,1,,Public Key Infrastructure (PKI) Services
de-cs-di-cs,Cryptography Services,de-cs-di,teal,de-cs-ci-soc-aa,Arcsight Appliance,de-cs-ci-soc,indigo,,,,123,124,API (CSV),crimson,1,,Cryptography Services
de-int,Integration,de,seagreen,de-cs-ci-vm-ten,Tenable,de-cs-ci-vm,indigo,,,,125,123,API (CSV),crimson,1,,Integration
de-int-int,Interfaces,de-int,olivedrab,de-en-cn-ndm-aw,Airwave,de-en-cn-ndm,indigo,,,,126,22,API (CSV),crimson,1,,Interfaces
de-int-int-api,API Gateway & Management,de-int-int,teal,de-en-cn-rnc-cw,Catalyst Switch,de-en-cn-rnc,indigo,,,,43,127,Shared DB,peru,1,,API Gateway & Management
de-int-int-esb,Enterprise Service Bus,de-int-int,teal,de-en-cn-rnc-ciw,Cisco Switch,de-en-cn-rnc,indigo,,,,127,43,Shared DB,peru,1,,Enterprise Service Bus
