label,parents
Retail and Commercial Operations
Commercial Operations,Retail and Commercial Operation
Sales,Commercial Operations
Market Analysis,Commercial Operations
Pricing,Commercial Operations
Quotation Management,Commercial Operations
Brand and Marketing,Commercial Operations
Product Development and Configuration,Commercial Operations
Product Management,Commercial Operations
